	field	enumeration	enumeration_description
3914	in.range_spot_vent_hour	Hour17	Range spot ventilation occurs at hour 17, and lasts for 1 hour
3915	in.range_spot_vent_hour	Hour18	Range spot ventilation occurs at hour 18, and lasts for 1 hour
3916	in.range_spot_vent_hour	Hour19	Range spot ventilation occurs at hour 19, and lasts for 1 hour
3917	in.range_spot_vent_hour	Hour2	Range spot ventilation occurs at hour 2, and lasts for 1 hour
3918	in.range_spot_vent_hour	Hour20	Range spot ventilation occurs at hour 20, and lasts for 1 hour
3919	in.range_spot_vent_hour	Hour21	Range spot ventilation occurs at hour 21, and lasts for 1 hour
3920	in.range_spot_vent_hour	Hour22	Range spot ventilation occurs at hour 22, and lasts for 1 hour
3921	in.range_spot_vent_hour	Hour23	Range spot ventilation occurs at hour 23, and lasts for 1 hour
3922	in.range_spot_vent_hour	Hour3	Range spot ventilation occurs at hour 3, and lasts for 1 hour
3923	in.range_spot_vent_hour	Hour4	Range spot ventilation occurs at hour 4, and lasts for 1 hour
3924	in.range_spot_vent_hour	Hour5	Range spot ventilation occurs at hour 5, and lasts for 1 hour
3925	in.range_spot_vent_hour	Hour6	Range spot ventilation occurs at hour 6, and lasts for 1 hour
3926	in.range_spot_vent_hour	Hour7	Range spot ventilation occurs at hour 7, and lasts for 1 hour
3927	in.range_spot_vent_hour	Hour8	Range spot ventilation occurs at hour 8, and lasts for 1 hour
3928	in.range_spot_vent_hour	Hour9	Range spot ventilation occurs at hour 9, and lasts for 1 hour
3929	in.reeds_balancing_area	True	Balancing area 1 of the Regional Energy Deployment System Model
3930	in.reeds_balancing_area	10	Balancing area 10 of the Regional Energy Deployment System Model
3931	in.reeds_balancing_area	100	Balancing area 100 of the Regional Energy Deployment System Model
3932	in.reeds_balancing_area	101	Balancing area 101 of the Regional Energy Deployment System Model
3933	in.reeds_balancing_area	102	Balancing area 102 of the Regional Energy Deployment System Model
3934	in.reeds_balancing_area	103	Balancing area 103 of the Regional Energy Deployment System Model
3935	in.reeds_balancing_area	104	Balancing area 104 of the Regional Energy Deployment System Model
3936	in.reeds_balancing_area	105	Balancing area 105 of the Regional Energy Deployment System Model
3937	in.reeds_balancing_area	106	Balancing area 106 of the Regional Energy Deployment System Model
3938	in.reeds_balancing_area	107	Balancing area 107 of the Regional Energy Deployment System Model
3939	in.reeds_balancing_area	108	Balancing area 108 of the Regional Energy Deployment System Model
3940	in.reeds_balancing_area	109	Balancing area 109 of the Regional Energy Deployment System Model
3941	in.reeds_balancing_area	11	Balancing area 11 of the Regional Energy Deployment System Model
3942	in.reeds_balancing_area	110	Balancing area 110 of the Regional Energy Deployment System Model
3943	in.reeds_balancing_area	111	Balancing area 111 of the Regional Energy Deployment System Model
3944	in.reeds_balancing_area	112	Balancing area 112 of the Regional Energy Deployment System Model
3945	in.reeds_balancing_area	113	Balancing area 113 of the Regional Energy Deployment System Model
3946	in.reeds_balancing_area	114	Balancing area 114 of the Regional Energy Deployment System Model
3947	in.reeds_balancing_area	115	Balancing area 115 of the Regional Energy Deployment System Model
3948	in.reeds_balancing_area	116	Balancing area 116 of the Regional Energy Deployment System Model
3949	in.reeds_balancing_area	117	Balancing area 117 of the Regional Energy Deployment System Model
3950	in.reeds_balancing_area	118	Balancing area 118 of the Regional Energy Deployment System Model
3951	in.reeds_balancing_area	119	Balancing area 119 of the Regional Energy Deployment System Model
3952	in.reeds_balancing_area	12	Balancing area 12 of the Regional Energy Deployment System Model
3953	in.reeds_balancing_area	120	Balancing area 120 of the Regional Energy Deployment System Model
3954	in.reeds_balancing_area	121	Balancing area 121 of the Regional Energy Deployment System Model
3955	in.reeds_balancing_area	122	Balancing area 122 of the Regional Energy Deployment System Model
3956	in.reeds_balancing_area	123	Balancing area 123 of the Regional Energy Deployment System Model
3957	in.reeds_balancing_area	124	Balancing area 124 of the Regional Energy Deployment System Model
3958	in.reeds_balancing_area	125	Balancing area 125 of the Regional Energy Deployment System Model
3959	in.reeds_balancing_area	126	Balancing area 126 of the Regional Energy Deployment System Model
3960	in.reeds_balancing_area	127	Balancing area 127 of the Regional Energy Deployment System Model
3961	in.reeds_balancing_area	128	Balancing area 128 of the Regional Energy Deployment System Model
3962	in.reeds_balancing_area	129	Balancing area 129 of the Regional Energy Deployment System Model
3963	in.reeds_balancing_area	13	Balancing area 13 of the Regional Energy Deployment System Model
3964	in.reeds_balancing_area	130	Balancing area 130 of the Regional Energy Deployment System Model
3965	in.reeds_balancing_area	131	Balancing area 131 of the Regional Energy Deployment System Model
3966	in.reeds_balancing_area	132	Balancing area 132 of the Regional Energy Deployment System Model
3967	in.reeds_balancing_area	133	Balancing area 133 of the Regional Energy Deployment System Model
3968	in.reeds_balancing_area	134	Balancing area 134 of the Regional Energy Deployment System Model
3969	in.reeds_balancing_area	14	Balancing area 14 of the Regional Energy Deployment System Model
3970	in.reeds_balancing_area	15	Balancing area 15 of the Regional Energy Deployment System Model
3971	in.reeds_balancing_area	16	Balancing area 16 of the Regional Energy Deployment System Model
3972	in.reeds_balancing_area	17	Balancing area 17 of the Regional Energy Deployment System Model
3973	in.reeds_balancing_area	18	Balancing area 18 of the Regional Energy Deployment System Model
3974	in.reeds_balancing_area	19	Balancing area 19 of the Regional Energy Deployment System Model
3975	in.reeds_balancing_area	2	Balancing area 2 of the Regional Energy Deployment System Model
3976	in.reeds_balancing_area	20	Balancing area 20 of the Regional Energy Deployment System Model
3977	in.reeds_balancing_area	21	Balancing area 21 of the Regional Energy Deployment System Model
3978	in.reeds_balancing_area	22	Balancing area 22 of the Regional Energy Deployment System Model
3979	in.reeds_balancing_area	23	Balancing area 23 of the Regional Energy Deployment System Model
3980	in.reeds_balancing_area	24	Balancing area 24 of the Regional Energy Deployment System Model
3981	in.reeds_balancing_area	25	Balancing area 25 of the Regional Energy Deployment System Model
3982	in.reeds_balancing_area	26	Balancing area 26 of the Regional Energy Deployment System Model
3983	in.reeds_balancing_area	27	Balancing area 27 of the Regional Energy Deployment System Model
3984	in.reeds_balancing_area	28	Balancing area 28 of the Regional Energy Deployment System Model
3985	in.reeds_balancing_area	29	Balancing area 29 of the Regional Energy Deployment System Model
3986	in.reeds_balancing_area	3	Balancing area 3 of the Regional Energy Deployment System Model
3987	in.reeds_balancing_area	30	Balancing area 30 of the Regional Energy Deployment System Model
3988	in.reeds_balancing_area	31	Balancing area 31 of the Regional Energy Deployment System Model
3989	in.reeds_balancing_area	32	Balancing area 32 of the Regional Energy Deployment System Model
3990	in.reeds_balancing_area	33	Balancing area 33 of the Regional Energy Deployment System Model
3991	in.reeds_balancing_area	34	Balancing area 34 of the Regional Energy Deployment System Model
3992	in.reeds_balancing_area	35	Balancing area 35 of the Regional Energy Deployment System Model
3993	in.reeds_balancing_area	36	Balancing area 36 of the Regional Energy Deployment System Model
3994	in.reeds_balancing_area	37	Balancing area 37 of the Regional Energy Deployment System Model
3995	in.reeds_balancing_area	38	Balancing area 38 of the Regional Energy Deployment System Model
3996	in.reeds_balancing_area	39	Balancing area 39 of the Regional Energy Deployment System Model
3997	in.reeds_balancing_area	4	Balancing area 4 of the Regional Energy Deployment System Model
3998	in.reeds_balancing_area	40	Balancing area 40 of the Regional Energy Deployment System Model
3999	in.reeds_balancing_area	41	Balancing area 41 of the Regional Energy Deployment System Model
4000	in.reeds_balancing_area	42	Balancing area 42 of the Regional Energy Deployment System Model
4001	in.reeds_balancing_area	43	Balancing area 43 of the Regional Energy Deployment System Model
4002	in.reeds_balancing_area	44	Balancing area 44 of the Regional Energy Deployment System Model
4003	in.reeds_balancing_area	45	Balancing area 45 of the Regional Energy Deployment System Model
4004	in.reeds_balancing_area	46	Balancing area 46 of the Regional Energy Deployment System Model
4005	in.reeds_balancing_area	47	Balancing area 47 of the Regional Energy Deployment System Model
4006	in.reeds_balancing_area	48	Balancing area 48 of the Regional Energy Deployment System Model
4007	in.reeds_balancing_area	49	Balancing area 49 of the Regional Energy Deployment System Model
4008	in.reeds_balancing_area	5	Balancing area 5 of the Regional Energy Deployment System Model
4009	in.reeds_balancing_area	50	Balancing area 50 of the Regional Energy Deployment System Model
4010	in.reeds_balancing_area	51	Balancing area 51 of the Regional Energy Deployment System Model
4011	in.reeds_balancing_area	52	Balancing area 52 of the Regional Energy Deployment System Model
4012	in.reeds_balancing_area	53	Balancing area 53 of the Regional Energy Deployment System Model
4013	in.reeds_balancing_area	54	Balancing area 54 of the Regional Energy Deployment System Model
4014	in.reeds_balancing_area	55	Balancing area 55 of the Regional Energy Deployment System Model
4015	in.reeds_balancing_area	56	Balancing area 56 of the Regional Energy Deployment System Model
4016	in.reeds_balancing_area	57	Balancing area 57 of the Regional Energy Deployment System Model
4017	in.reeds_balancing_area	58	Balancing area 58 of the Regional Energy Deployment System Model
4018	in.reeds_balancing_area	59	Balancing area 59 of the Regional Energy Deployment System Model
4019	in.reeds_balancing_area	6	Balancing area 6 of the Regional Energy Deployment System Model
4020	in.reeds_balancing_area	60	Balancing area 60 of the Regional Energy Deployment System Model
4021	in.reeds_balancing_area	61	Balancing area 61 of the Regional Energy Deployment System Model
4022	in.reeds_balancing_area	62	Balancing area 62 of the Regional Energy Deployment System Model
4023	in.reeds_balancing_area	63	Balancing area 63 of the Regional Energy Deployment System Model
4024	in.reeds_balancing_area	64	Balancing area 64 of the Regional Energy Deployment System Model
4025	in.reeds_balancing_area	65	Balancing area 65 of the Regional Energy Deployment System Model
4026	in.reeds_balancing_area	66	Balancing area 66 of the Regional Energy Deployment System Model
4027	in.reeds_balancing_area	67	Balancing area 67 of the Regional Energy Deployment System Model
4028	in.reeds_balancing_area	68	Balancing area 68 of the Regional Energy Deployment System Model
4029	in.reeds_balancing_area	69	Balancing area 69 of the Regional Energy Deployment System Model
4030	in.reeds_balancing_area	7	Balancing area 7 of the Regional Energy Deployment System Model
4031	in.reeds_balancing_area	70	Balancing area 70 of the Regional Energy Deployment System Model
4032	in.reeds_balancing_area	71	Balancing area 71 of the Regional Energy Deployment System Model
4033	in.reeds_balancing_area	72	Balancing area 72 of the Regional Energy Deployment System Model
4034	in.reeds_balancing_area	73	Balancing area 73 of the Regional Energy Deployment System Model
4035	in.reeds_balancing_area	74	Balancing area 74 of the Regional Energy Deployment System Model
4036	in.reeds_balancing_area	75	Balancing area 75 of the Regional Energy Deployment System Model
4037	in.reeds_balancing_area	76	Balancing area 76 of the Regional Energy Deployment System Model
4038	in.reeds_balancing_area	77	Balancing area 77 of the Regional Energy Deployment System Model
4039	in.reeds_balancing_area	78	Balancing area 78 of the Regional Energy Deployment System Model
4040	in.reeds_balancing_area	79	Balancing area 79 of the Regional Energy Deployment System Model
4041	in.reeds_balancing_area	8	Balancing area 8 of the Regional Energy Deployment System Model
4042	in.reeds_balancing_area	80	Balancing area 80 of the Regional Energy Deployment System Model
4043	in.reeds_balancing_area	81	Balancing area 81 of the Regional Energy Deployment System Model
4044	in.reeds_balancing_area	82	Balancing area 82 of the Regional Energy Deployment System Model
4045	in.reeds_balancing_area	83	Balancing area 83 of the Regional Energy Deployment System Model
4046	in.reeds_balancing_area	84	Balancing area 84 of the Regional Energy Deployment System Model
4047	in.reeds_balancing_area	85	Balancing area 85 of the Regional Energy Deployment System Model
4048	in.reeds_balancing_area	86	Balancing area 86 of the Regional Energy Deployment System Model
4049	in.reeds_balancing_area	87	Balancing area 87 of the Regional Energy Deployment System Model
4050	in.reeds_balancing_area	88	Balancing area 88 of the Regional Energy Deployment System Model
4051	in.reeds_balancing_area	89	Balancing area 89 of the Regional Energy Deployment System Model
4052	in.reeds_balancing_area	9	Balancing area 9 of the Regional Energy Deployment System Model
4053	in.reeds_balancing_area	90	Balancing area 90 of the Regional Energy Deployment System Model
4054	in.reeds_balancing_area	91	Balancing area 91 of the Regional Energy Deployment System Model
4055	in.reeds_balancing_area	92	Balancing area 92 of the Regional Energy Deployment System Model
4056	in.reeds_balancing_area	93	Balancing area 93 of the Regional Energy Deployment System Model
4057	in.reeds_balancing_area	94	Balancing area 94 of the Regional Energy Deployment System Model
4058	in.reeds_balancing_area	95	Balancing area 95 of the Regional Energy Deployment System Model
4059	in.reeds_balancing_area	96	Balancing area 96 of the Regional Energy Deployment System Model
4060	in.reeds_balancing_area	97	Balancing area 97 of the Regional Energy Deployment System Model
4061	in.reeds_balancing_area	98	Balancing area 98 of the Regional Energy Deployment System Model
4062	in.reeds_balancing_area	99	Balancing area 99 of the Regional Energy Deployment System Model
4063	in.refrigerator	EF 10.2, 100% Usage	Refrigerator with energy factor 10.2 used at 100% the national average
4064	in.refrigerator	EF 10.5, 100% Usage	Refrigerator with energy factor 10.5 used at 100% the national average
4065	in.refrigerator	EF 15.9, 100% Usage	Refrigerator with energy factor 15.9 used at 100% the national average
4066	in.refrigerator	EF 17.6, 100% Usage	Refrigerator with energy factor 17.6 used at 100% the national average
4067	in.refrigerator	EF 19.9, 100% Usage	Refrigerator with energy factor 19.9 used at 100% the national average
4068	in.refrigerator	EF 6.7, 100% Usage	Refrigerator with energy factor 6.7 used at 100% the national average
4069	in.refrigerator	None	No refrigerator
4070	in.roof_material	Asphalt Shingles, Medium	Medium colored asphalt shingle roof
4071	in.roof_material	Composition Shingles	Composition shingle roof
4072	in.roof_material	Metal, Dark	Dark colored metal roof
4073	in.roof_material	Slate	Slate roof
4074	in.roof_material	Tile, Clay or Ceramic	Clay or ceramic tile roof
4075	in.roof_material	Tile, Concrete	Concrete tile roof
4076	in.roof_material	Wood Shingles	Wood shingle roof
4077	in.schedules	Stochastic	Schedules are generated stochastically
4078	in.setpoint_demand_response	None	Hourly setpoint demand response schedule not applied
4079	in.solar_hot_water	None	No solar water heater
4080	in.state	AL	
4081	in.state	AR	
4082	in.state	AZ	
4083	in.state	CA	
4084	in.state	CO	
4085	in.state	CT	
4086	in.state	DC	
4087	in.state	DE	
4088	in.state	FL	
4089	in.state	GA	
4090	in.state	IA	
4091	in.state	ID	
4092	in.state	IL	
4093	in.state	IN	
4094	in.state	KS	
4095	in.state	KY	
4096	in.state	LA	
4097	in.state	MA	
4098	in.state	MD	
4099	in.state	ME	
4100	in.state	MI	
4101	in.state	MN	
4102	in.state	MO	
4103	in.state	MS	
4104	in.state	MT	
4105	in.state	NC	
4106	in.state	ND	
4107	in.state	NE	
4108	in.state	NH	
4109	in.state	NJ	
4110	in.state	NM	
4111	in.state	NV	
4112	in.state	NY	
4113	in.state	OH	
4114	in.state	OK	
4115	in.state	OR	
4116	in.state	PA	
4117	in.state	RI	
4118	in.state	SC	
4119	in.state	SD	
4120	in.state	TN	
4121	in.state	TX	
4122	in.state	UT	
4123	in.state	VA	
4124	in.state	VT	
4125	in.state	WA	
4126	in.state	WI	
4127	in.state	WV	
4128	in.state	WY	
4129	in.units_represented	True	Model represents a single housing unit
4130	in.usage_level	High	Usage of major appliances is higher than the national average
4131	in.usage_level	Low	Usage of major appliances is lower than the national average
4132	in.usage_level	Medium	Usage of major appliances is equal to the national average
4133	in.vacancy_status	Occupied	Housing unit is occupied
4134	in.vacancy_status	Vacant	Housing unit is vacant
4135	in.vintage	1940s	Housing unit was built in the 1940s
4136	in.vintage	1950s	Housing unit was built in the 1950s
4137	in.vintage	1960s	Housing unit was built in the 1960s
4138	in.vintage	1970s	Housing unit was built in the 1970s
4139	in.vintage	1980s	Housing unit was built in the 1980s
4140	in.vintage	1990s	Housing unit was built in the 1990s
4141	in.vintage	2000s	Housing unit was built in the 2000s
4142	in.vintage	2010s	Housing unit was built in the 2010s
4143	in.vintage	<1940	Housing unit was built prior to 1940
4144	in.vintage_acs	1940-59	Housing unit was built between 1940-59
4145	in.vintage_acs	1960-79	Housing unit was built between 1960-79
4146	in.vintage_acs	1980-99	Housing unit was built between 1980-99
4147	in.vintage_acs	2000-09	Housing unit was built between 2000-09
4148	in.vintage_acs	2010s	Housing unit was built between 2010s
4149	in.vintage_acs	<1940	Housing unit was built prior to 1940
4150	in.water_heater_efficiency	Electric Heat Pump, 80 gal	80 gal heat pump water heater
4151	in.water_heater_efficiency	Electric Premium	Electric water heater with an energy factor of 0.95
4152	in.water_heater_efficiency	Electric Standard	Electric water heater with an energy factor of 0.92
4153	in.water_heater_efficiency	Electric Tankless	Tankless electric water heater
4154	in.water_heater_efficiency	FIXME Fuel Oil Indirect	Fuel oil indirect water heater
4155	in.water_heater_efficiency	Fuel Oil Premium	Fuel oil water heater with energy factor of 0.68
4156	in.water_heater_efficiency	Fuel Oil Standard	Fuel oil water heater with energy factor of 0.62
4157	in.water_heater_efficiency	Natural Gas Premium	Natural gas water heater with energy factor of 0.67
4158	in.water_heater_efficiency	Natural Gas Standard	Natural gas water heater with energy factor of 0.59
4159	in.water_heater_efficiency	Natural Gas Tankless	Tankless natural gas water heater
4160	in.water_heater_efficiency	Other Fuel	Other fuel (wood, coal, solar) water heater
4161	in.water_heater_efficiency	Propane Premium	Propane water heater with energy factor of 0.67
4162	in.water_heater_efficiency	Propane Standard	Propane water heater with energy factor of 0.59
4163	in.water_heater_efficiency	Propane Tankless	Tankless propane water heater
4164	in.water_heater_fuel	Electricity	Electric water heater
4165	in.water_heater_fuel	Fuel Oil	Fuel oil water heater
4166	in.water_heater_fuel	Natural Gas	Natural gas water heater
4167	in.water_heater_fuel	Other Fuel	Other fuel (wood, coal, solar) water heater
4168	in.water_heater_fuel	Propane	Propane water heater
4169	in.water_heater_in_unit	No	No water heater present in unit
4170	in.water_heater_in_unit	Yes	Water heater present in unit
4171	in.weather_file_city	A L Mangham Jr Rgnl	
4172	in.weather_file_city	Aberdeen Regional	
4173	in.weather_file_city	Abilene Dyess Afb	
4174	in.weather_file_city	Abilene Municipal	
4175	in.weather_file_city	Accomack Co	
4176	in.weather_file_city	Adirondack Rgnl	
4177	in.weather_file_city	Ainsworth Municipal	
4178	in.weather_file_city	Airborne Airpark	
4179	in.weather_file_city	Aitkin Muni Kurtz Fl	
4180	in.weather_file_city	Akron Akron Canton	
4181	in.weather_file_city	Alamosa Muni Awos	
4182	in.weather_file_city	Albany County Airpo	
4183	in.weather_file_city	Albany Municipal	
4184	in.weather_file_city	Albert Lea Awos	
4185	in.weather_file_city	Albuquerque Intl	
4186	in.weather_file_city	Alexander Fld South	
4187	in.weather_file_city	Alexandria Int	
4188	in.weather_file_city	Algona	
4189	in.weather_file_city	Alice Intl	
4190	in.weather_file_city	Allegheny Co	
4191	in.weather_file_city	Allentown A Bethle	
4192	in.weather_file_city	Alliance Muni	
4193	in.weather_file_city	Alma Bacon Co	
4194	in.weather_file_city	Alpena Phelps Colli	
4195	in.weather_file_city	Altoona Blair Co	
4196	in.weather_file_city	Alturas Muni	
4197	in.weather_file_city	Altus Afb	
4198	in.weather_file_city	Amarillo Intl	
4199	in.weather_file_city	Ames Muni	
4200	in.weather_file_city	Anderson Rgnl	
4201	in.weather_file_city	Andrews Afb Camp Sp	
4202	in.weather_file_city	Angelina Co	
4203	in.weather_file_city	Ankeny Regional Arp	
4204	in.weather_file_city	Ann Arbor Municipal	
4205	in.weather_file_city	Anniston Metropolit	
4206	in.weather_file_city	Anoka Co Blaine	
4207	in.weather_file_city	Antrim Co	
4208	in.weather_file_city	Apalachicola Muni	
4209	in.weather_file_city	Aransas Co	
4210	in.weather_file_city	Arcata	
4211	in.weather_file_city	Ardmore Downtown Exe	
4212	in.weather_file_city	Arlington Muni	
4213	in.weather_file_city	Artesia Muni	
4214	in.weather_file_city	Arthur N Neu	
4215	in.weather_file_city	Ashe Co	
4216	in.weather_file_city	Asheboro Rgnl	
4217	in.weather_file_city	Asheville Municipal	
4218	in.weather_file_city	Ashtabula Co	
4219	in.weather_file_city	Aspen Pitkin Co Sard	
4220	in.weather_file_city	Astoria Clatsop	
4221	in.weather_file_city	Athens Municipal	
4222	in.weather_file_city	Atlanta Municipal	
4223	in.weather_file_city	Atlantic City Intl	
4224	in.weather_file_city	Atlantic Muni	
4225	in.weather_file_city	Auburn Lewiston Muni	
4226	in.weather_file_city	Audubon Co	
4227	in.weather_file_city	Augusta Bush Field	
4228	in.weather_file_city	Augusta State Arpt	
4229	in.weather_file_city	Aurora Muni Al Pott	
4230	in.weather_file_city	Aurora Municipal	
4231	in.weather_file_city	Aurora State	
4232	in.weather_file_city	Austin Camp Mabry	
4233	in.weather_file_city	Austin Mueller Muni	
4234	in.weather_file_city	Austin Muni	
4235	in.weather_file_city	Baker City Muni	
4236	in.weather_file_city	Baker Muni	
4237	in.weather_file_city	Bakersfield Meadows	
4238	in.weather_file_city	Baltimore Washingto	
4239	in.weather_file_city	Bangor Intl	
4240	in.weather_file_city	Baraboo Wisc Dells	
4241	in.weather_file_city	Barksdale Afb	
4242	in.weather_file_city	Barstow Daggett	
4243	in.weather_file_city	Batesville Rgnl	
4244	in.weather_file_city	Baton Rouge Metro R	
4245	in.weather_file_city	Beale Afb	
4246	in.weather_file_city	Beatrice Muni	
4247	in.weather_file_city	Beaufort Mcas	
4248	in.weather_file_city	Beckley Raleigh Ct	
4249	in.weather_file_city	Beeville Chase Naas	
4250	in.weather_file_city	Bellingham Intl	
4251	in.weather_file_city	Bemidji Municipal	
4252	in.weather_file_city	Berlin Municipal	
4253	in.weather_file_city	Bert Mooney	
4254	in.weather_file_city	Big Piney Amos	
4255	in.weather_file_city	Bigfork	
4256	in.weather_file_city	Billings Logan Int	
4257	in.weather_file_city	Binghamton Broome C	
4258	in.weather_file_city	Birmingham	
4259	in.weather_file_city	Birmingham Muni	
4260	in.weather_file_city	Bisbee Douglas Intl	
4261	in.weather_file_city	Bishop Airport	
4262	in.weather_file_city	Bismarck Municipal	
4263	in.weather_file_city	Block Island	
4264	in.weather_file_city	Blue Canyon Nyack	
4265	in.weather_file_city	Blue Ridge	
4266	in.weather_file_city	Blythe	
4267	in.weather_file_city	Bob Sikes	
4268	in.weather_file_city	Boise Municipal	
4269	in.weather_file_city	Boone Co	
4270	in.weather_file_city	Boone Muni	
4271	in.weather_file_city	Boscobel	
4272	in.weather_file_city	Boston Logan Intl	
4273	in.weather_file_city	Bowerman	
4274	in.weather_file_city	Bowers Fld	
4275	in.weather_file_city	Bowling Green Warre	
4276	in.weather_file_city	Bowman Fld	
4277	in.weather_file_city	Bradford Rgnl	
4278	in.weather_file_city	Brainerd Lakes Rgnl	
4279	in.weather_file_city	Branch Co Mem	
4280	in.weather_file_city	Bremerton National	
4281	in.weather_file_city	Brewster Fld	
4282	in.weather_file_city	Broken Bow Muni	
4283	in.weather_file_city	Brookings Rgnl	
4284	in.weather_file_city	Brunswick Golden Is	
4285	in.weather_file_city	Buckley Afb	
4286	in.weather_file_city	Buffalo	
4287	in.weather_file_city	Burke Lakefront	
4288	in.weather_file_city	Burley Muni	
4289	in.weather_file_city	Burlington Alamance	
4290	in.weather_file_city	Burlington Intl	
4291	in.weather_file_city	Burnet Muni Kate Cr	
4292	in.weather_file_city	Burns Muni Amos	
4293	in.weather_file_city	Butler Co Rgnl	
4294	in.weather_file_city	Butler Co Scholter F	
4295	in.weather_file_city	C David Campbell Fld	
4296	in.weather_file_city	C M Schulz Sonoma Co	
4297	in.weather_file_city	Cahokia St Louis	
4298	in.weather_file_city	Cairns Aaf	
4299	in.weather_file_city	Caldwell Awos	
4300	in.weather_file_city	Camarillo	
4301	in.weather_file_city	Cambridge Muni	
4302	in.weather_file_city	Camp Pendleton Mcas	
4303	in.weather_file_city	Cannon Afb	
4304	in.weather_file_city	Canyonlands Fld	
4305	in.weather_file_city	Cape Girardeau Rgnl	
4306	in.weather_file_city	Cape Hatteras	
4307	in.weather_file_city	Cape May Co	
4308	in.weather_file_city	Capital City Arpt	
4309	in.weather_file_city	Cartersville	
4310	in.weather_file_city	Casper Natrona Coun	
4311	in.weather_file_city	Castle Afb Merced	
4312	in.weather_file_city	Cecil Fld	
4313	in.weather_file_city	Cedar City Rgnl	
4314	in.weather_file_city	Cedar Rapids Muni	
4315	in.weather_file_city	Centennial	
4316	in.weather_file_city	Central Illinois Rg	
4317	in.weather_file_city	Centreville	
4318	in.weather_file_city	Challis	
4319	in.weather_file_city	Chamberlain Amos	
4320	in.weather_file_city	Chan Gurney Muni	
4321	in.weather_file_city	Chandler Fld	
4322	in.weather_file_city	Chanute Martin Johns	
4323	in.weather_file_city	Chariton Muni	
4324	in.weather_file_city	Charles B Wheeler D	
4325	in.weather_file_city	Charleston Muni	
4326	in.weather_file_city	Charlevoix Muni	
4327	in.weather_file_city	Charlotte Co	
4328	in.weather_file_city	Charlotte Douglas	
4329	in.weather_file_city	Charlottesville Alb	
4330	in.weather_file_city	Chattanooga Lovell	
4331	in.weather_file_city	Cherry Capital	
4332	in.weather_file_city	Cherry Point Mcas	
4333	in.weather_file_city	Chesapeake	
4334	in.weather_file_city	Cheyenne Warren Afb	
4335	in.weather_file_city	Chicago Waukegan	
4336	in.weather_file_city	Chicopee Falls West	
4337	in.weather_file_city	Childress Municipal	
4338	in.weather_file_city	Chippewa Valley Rgn	
4339	in.weather_file_city	Cincinnati Greater	
4340	in.weather_file_city	Cincinnati Muni Lun	
4341	in.weather_file_city	Clarion Muni	
4342	in.weather_file_city	Clayton Muni Amos	
4343	in.weather_file_city	Clearfield Lawrence	
4344	in.weather_file_city	Cleveland	
4345	in.weather_file_city	Clines Corners	
4346	in.weather_file_city	Clinton Muni	
4347	in.weather_file_city	Clinton Sherman	
4348	in.weather_file_city	Clintonville Muni	
4349	in.weather_file_city	Cloquet Carlton Co	
4350	in.weather_file_city	Clovis Muni	
4351	in.weather_file_city	Cody Muni Awos	
4352	in.weather_file_city	Coeur D Alene Air Te	
4353	in.weather_file_city	Coffeyville Muni	
4354	in.weather_file_city	Col James Jabara	
4355	in.weather_file_city	Coles Co Mem	
4356	in.weather_file_city	Collin Co Rgnl	
4357	in.weather_file_city	Colorado Plains Rgnl	
4358	in.weather_file_city	Colorado Springs Mu	
4359	in.weather_file_city	Columbia Gorge Rgnl	
4360	in.weather_file_city	Columbia Metro	
4361	in.weather_file_city	Columbia Owens Apt	
4362	in.weather_file_city	Columbia Regional	
4363	in.weather_file_city	Columbus Afb	
4364	in.weather_file_city	Columbus Metropolit	
4365	in.weather_file_city	Columbus Muni	
4366	in.weather_file_city	Concord Buchanan	
4367	in.weather_file_city	Concord Municipal	
4368	in.weather_file_city	Concordia Blosser M	
4369	in.weather_file_city	Converse Co	
4370	in.weather_file_city	Copper Harbor	
4371	in.weather_file_city	Corpus Christi Int	
4372	in.weather_file_city	Cortez Muni	
4373	in.weather_file_city	Corvallis Muni	
4374	in.weather_file_city	Cotulla Lasalle Co	
4375	in.weather_file_city	Council Bluffs Muni	
4376	in.weather_file_city	Cox Fld	
4377	in.weather_file_city	Craig Moffat	
4378	in.weather_file_city	Crane Lake Seaplane	
4379	in.weather_file_city	Craven Co Rgnl	
4380	in.weather_file_city	Creston Muni	
4381	in.weather_file_city	Crookston Muni Kirkw	
4382	in.weather_file_city	Cross City Cross Ci	
4383	in.weather_file_city	Crossville Mem Whit	
4384	in.weather_file_city	Crystal	
4385	in.weather_file_city	Culpeper Rgnl	
4386	in.weather_file_city	Custer	
4387	in.weather_file_city	Custer County	
4388	in.weather_file_city	Cut Bank Muni	
4389	in.weather_file_city	Dalhart Municipal	
4390	in.weather_file_city	Dallas Hensley Field Nas	
4391	in.weather_file_city	Dallas Love Fld	
4392	in.weather_file_city	Dalton	
4393	in.weather_file_city	Danbury Muni Arpt	
4394	in.weather_file_city	Daniel Field	
4395	in.weather_file_city	Danville Rgnl	
4396	in.weather_file_city	Dare Co Rgnl	
4397	in.weather_file_city	Davenport Muni	
4398	in.weather_file_city	Davis Monthan Afb	
4399	in.weather_file_city	Davison Aaf	
4400	in.weather_file_city	Dawson Community	
4401	in.weather_file_city	Dayton James M Cox	
4402	in.weather_file_city	Dayton Wright Brothe	
4403	in.weather_file_city	Dayton Wright Patte	
